"","rmsd","n","kb","kt","Kd","k_deg","tau","NA"
"Zbtb10",0.167222602860364,5,0.177485917963222,0.818853640795953,0.417824761728039,0.00923379640793551,0.407600139901829,119.184653241932
"Itpkc",0.102183136019095,6,0.04976666294204,0.186149147295157,0.405679778607109,0.0158961744935183,33.3885403442638,144.93326915577
"Klf10",0.07947640629628,6,0.0417570832124785,0.40039644395247,0.557255371434354,0.0268060837591082,42.5019302482769,133.562432892612
"Irf1",0.145002064072303,6,0.0188672479230518,0.321898887105044,0.589567046349452,0.0188866598967096,29.9485842159634,129.590925028711
"Rel",0.203569414606539,4,0.0360741907891426,0.331969832762668,0.503713046163884,0.0157046062424888,0.130051412256895,135.353602785191
"Gadd45b",0.107948929472393,6,0.0426361614317194,0.296121516407653,0.505874589607165,0.0219042401477075,28.9034882455525,155.162633993359
"Pim1",0.087071278390398,4,0.0246823135062345,0.537843775111952,0.484879271117471,0.0114342673218295,8.75007908156819,129.542353188667
"ENSMUSG00000097418",0.130003954269971,3,0.0701966881542789,148.573645830521,0.844565168271463,0.00630865043532637,0.243184188481186,124.941414448491
"Zc3h12c",0.226989429520402,3,0.145279323803649,2.05400993257931,0.600189027523437,0.00662018626537074,0.103810818174007,143.078821531867
"Cxcl10",0.203173561713212,5,0.0531796889172967,25.9928774137228,0.355968644048408,0.0050542096136178,0.0821384551851471,120.297147396913
"Cgn",0.242992374984743,2,0.00169342300963067,5.82806077900203,0.136330518322827,0.00459118192189791,0.00645583900988312,171.828529087937
"Pdgfb",0.163460664504493,6,0.0102769789228669,3.67581378381572,0.727461545138504,0.0121974701812032,61.028820235554,415.218735891786
"Sik1",0.162824238553093,2,0.0493371481420304,0.20696637227712,0.394107224432902,0.0245383407389621,43.5858581742661,291.248333784955
"Kcnk10",0.283632708384038,2,0.00891472611149648,0.777568503047913,0.425376864191198,0.00468978092302172,0.0996677337013303,218.04207319081
"Ccl1",0.143299161469997,6,0.0010000000095486,16.7354779197656,0.252955321519253,0.00364043755396508,33.8928835124943,294.582537101816
"Wnt11",0.205242185228936,2,0.0115549855285953,0.0883615010134835,0.0955177851116205,0.00662026002642875,0.101617248960725,285.90400009891
"Angptl4",0.220379161750163,4,0.0315458673815696,0.382130722391286,0.494659012272648,0.00653927428904487,0.00901237166012505,197.990407128766
"Bdkrb2",0.351090042922079,3,0.00114035377313134,8.78593161942162,0.391367209041897,0.016575693139273,0.132120330024878,404.512189899513
"Icam1",0.142393654602428,4,0.0390987934536113,10.0499871967384,0.144174685520541,0.00476396183174534,0.148597904217044,292.35217713575
"Nfkb1",0.150739564958267,6,0.0145321983301216,4.30546842897696,1.58152495647587,0.00532425803706807,64.1666789751483,192.032478184161
"Nfkb2",0.134898387329176,6,0.00757025758928668,0.241187976249556,0.234027977514928,0.00376376749446078,9.60300421171463,195.042097828097
"Nfkbie",0.19956145981224,1,0.00110601116414346,0.186106110465444,1.78598599608227,0.00606782227634536,0.0117521082859051,298.164030802575
"Rab11fip1",0.230881755421713,3,0.0344122663946172,0.550986342574173,0.402493291926626,0.0107957626083961,0.0795463371428852,243.826947989387
"Rhof",0.143185301539426,2,0.124769364097319,1.04005891608222,0.300256762967098,0.00797282723900052,0.0939269828697812,216.520782270474
"Ripk2",0.16418289844209,2,0.0010341197767825,28.9098652839557,0.525966493649045,0.0053774106231897,0.374069913153791,214.104302130499
"Trim47",0.205729151967972,3,0.0290756653142931,0.353668101250414,0.11404125307166,0.0100436560445667,0.102905707744873,356.6285524438
"Slco2a1",0.19752889310377,6,0.031073915312596,127.273110464133,0.110883439308925,0.00168090273506211,1.91203341558628,262.329428672134
"Gbp2",0.141121121888661,5,0.00120845148303596,2.88350602727644,0.086106018904176,0.00231141251958919,2.33875152214601,299.105884541202
"Slc7a2",0.34523029741249,5,0.0209674497946617,2.02739794104754,0.195451636593921,0.00227853719361343,0.100137011826806,120
"Cx3cl1",0.12915596978232,5,0.00332188351104796,561.851971316826,0.46522426882125,0.00194803333787441,39.0744641761374,266.439041094867
"B4galt5",0.319565589928643,4,0.0407017926585074,2.00784107050752,1.08915386914146,0.00451274949990726,0.0483799858426316,123.149903896222
"Gda",0.314883327799698,5,0.0262780743697261,0.323920583543508,0.282006002946669,0.00266905388945806,0.0858214823871466,120.482433720829
"Il1r1",0.217066990303694,4,0.16884440544389,1.47252926858411,0.0863837734916179,0.00543179545124815,0.0915760693674209,238.255194766296
"Jak2",0.164120703488,6,0.0877137443883918,0.728413656309393,0.377989182423471,0.00464172588471404,1.66012146473411,190.802344691529
"Rab20",0.184270053647351,4,0.0010182977017553,0.829744981014832,3.5416291106123,0.0138698772461472,63.1572470170706,186.426938814168
"Sdc4",0.155024193769518,4,0.00698328302333403,0.599414393550943,0.471340422120785,0.00244226558697214,0.184960745385195,160.457654131149
"St3gal1",0.347068150739905,5,0.00717955019997782,0.160777383556956,0.247150590467928,0.00463136467413347,0.0395620292863178,119.9999937171
"Slfn2",0.222386349285474,6,0.0158113977125154,0.629708298702749,0.60479714655616,0.00938563096610221,0.11826660301415,119.997169192481
"Hivep3",0.222667539115309,2,0.393658512441995,21.0695367124107,0.153669671735907,0.00596951743347039,0.380956346870299,300.009288120855
"Tnfaip2",0.175922394690758,5,0.0247039269807775,6.67480881412717,0.590234506345891,0.00405856451232478,0.022079800940554,164.996023166948
"Tnfsf11",0.167248681973601,5,0.00100131812587985,8.15242768490304,0.246172018130465,0.00571854848955759,0.0774142879969061,300.849369237279
"Slc39a4",0.151796669309566,5,0.0200678535321117,0.50720037328782,0.145001290787519,0.000483980137484918,1.0853359592129,382.492285877
"Tmem158",0.325616759271872,4,0.00942143737652354,0.42338962308204,1.19488564357929,0.00390596492781357,0.0740771972158166,120.590493335212
"Egln3",0.123230583630607,6,0.053161010935003,0.219366636415728,0.0707605381320624,0.00484949625947218,0.0717570369404183,328.390150167666
"Adtrp",0.399762999332198,4,0.0117271647233479,0.0907927107501161,0.128163561336753,0.00406878929262784,0.112831104434871,120
"Flt1",0.148014558109168,4,0.0113154241983729,0.641016842229909,0.0630004879582535,0.00206455991120683,0.0759947761777122,274.374319544829
"Pilra",0.466314317211142,2,0.0202568346200632,0.52247963499076,0.123786501442786,0.00683081121653906,0.0996676861273927,120
"Ptges",0.185257915652481,4,0.00100006198254368,75.3961483718372,0.40811089481694,0.00295051940942969,0.0648718930900055,299.42145379689
"Fpr1",0.165089568846287,2,0.00725396344113932,6.38878624760533,0.552992915565684,0.000496672968904391,0.144709889642137,476.493209943834
"Lcn2",0.164011067018779,2,0.00700126314513748,19.3620536185198,0.615192869406024,0.000483981373328794,0.100524387455354,478.153606578405
