"","r2","rmsd"
"Lcn2",0.956780578034668,0.0598450653153642
"Nos2",0.813603777144396,0.146245254340266
"Csf1",0.714068235539612,0.279139421886274
"Cx3cl1",0.712710686439052,0.164871446956969
"Kcnn3",0.697577497083559,0.22060777319571
"Stx11",0.692359553130294,0.22182510421885
"Ccl1",0.688387764683734,0.202117795888048
"Ccl5",0.653037070223949,0.171007129444239
"Bcl3",0.629577403076863,0.208993901596751
"Tmem132e",0.62372439358425,0.280441875688533
"Tnfaip3",0.611053659890848,0.367186803166257
"Tjp2",0.602631757154089,0.182978940601011
"Tnip1",0.602512558265013,0.145898658971193
"Gsap",0.60091344884918,0.165338585747602
"Icam1",0.582600295346028,0.249036984506234
"Rab11fip1",0.58020572318637,0.161956770528759
"Gch1",0.559390729924366,0.255833390088075
"Fpr2",0.558018833446551,0.176933161847571
"Zbtb46",0.557956103473077,0.205321065857976
"Relb",0.54569166481381,0.230505822187813
"Wnt11",0.538707302330401,0.208874884271884
"Il1rl1",0.535688541874427,0.252284755964599
"Ptges",0.473234955106358,0.2147316141089
"Il34",0.467143989996818,0.176243874121128
"Ccl2",0.456570213681058,0.299923365181035
"Pdgfb",0.438927699672258,0.469600400168996
"Acpp",0.438051046648359,0.891945872393799
"Birc3",0.436131096775581,0.270541540383915
"Tnfsf11",0.433278869975458,0.18993128787304
"Nfkbie",0.419070103720955,0.329935036018607
"Mir155hg",0.411207252750894,0.196866163150358
"Slco3a1",0.401409734378943,0.275240754632239
"Serpina3g",0.373379003880081,0.204472326644724
"Irg1",0.36784805040929,0.231872844814811
"Gm8773",0.364759591130415,0.473079169310526
"Tnfaip2",0.348371408215782,0.261627359213534
"Zswim4",0.337147625644899,0.306651761716652
"Ripk2",0.336813198664977,0.285101770924589
"Cgn",0.333107391605231,0.737136792344325
"Ccl7",0.249077703875311,0.297837196984142
"Zc3h12a",0.186960768881457,0.332848906860902
"Fpr1",0.107422959902048,0.247897408800332
"Adtrp",0.106341138567153,0.267814446431684
"Slco2a1",0.0983271383119155,0.291571029151728
"Mmp9",0.0942100914742524,2.05423436243715
"Pilra",0.0659074422055871,0.221241762444571
"Rbfox1",0.0484201342508672,0.347605768858076
"Exoc3l4",0.0247364610028402,0.290622958145411
"Rasgef1a",0.00962188644496897,0.365991785528198
"Ch25h",-0.0427202549439891,0.281694424714052
"Pim1",-0.0571965214229935,0.369854835983454
"Sod2",-0.0914770249918497,0.244652123975493
"Rel",-0.119909563215635,0.287478030050809
"Bdkrb2",-0.149702981313597,0.339237825759401
"Sik1",-0.253866371413147,0.387689305618036
"Mmp3",-0.256599762168882,0.319102943230823
"Zc3h12c",-0.299507288795656,0.23332552321636
"U90926",-0.38478993372945,0.287048815917889
"B4galt5",-0.399436737436474,0.275053174324149
"Slfn2",-0.483393931385587,0.355092629253396
"Nfkb2",-0.593411855890792,0.433074421476947
"Trim47",-0.637602439547749,0.390855134074328
"Gbp2",-0.696268794947722,0.35238762205509
"Cxcl10",-0.717644471350434,0.486424487605418
"Vcam1",-1.20600355437319,0.491772238478755
"Rhof",-1.62508036694043,0.373012871013358
"Slc7a2",-1.77734694828767,0.429050525029799
"Irf1",-2.03270314520846,0.544388754785958
"Rab20",-3.11243675875462,0.594629188432191
