"","r2","n","delta_r2","gene"
"1",0.629731257846442,4,0.443825045723126,"Nfkbie"
"2",0.579187547354413,1,0,"Mt2"
"3",0.51965533033404,5,0.263019699355453,"Jak2"
"4",0.51393700785297,1,0,"Rab20"
"5",0.507573287756484,6,0.0455683254650017,"Il1r1"
"6",0.433348818433599,4,0.251852728021847,"Gadd45b"
"7",0.405747615963515,4,0.179012295773663,"Rel"
"8",0.401775429966992,6,0.0381948489614087,"St3gal1"
"9",0.391747255612961,2,0.0616957139842756,"Rab11fip1"
"10",0.380024921212631,1,0,"Ripk2"
"11",0.371902778960993,1,0,"B4galt5"
"12",0.344470392571286,3,0.183225922273549,"Itpkc"
"13",0.278590452842825,1,0,"Sik1"
"14",-0.0411732378724163,1,0,"Irf1"
"15",-0.0842099825338745,4,0.152383788274206,"Klf10"
"16",-0.169295230376034,4,0.022637012327843,"Zc3h12c"
"17",-0.785957377862584,2,0.0112581233653317,"Zbtb10"
